Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0064703,2025-06-11,2025-06-11,,"The Mummy","Al-mummia",https://www.imdb.com/title/tt0064703/,Movie,7.7,102,1969,"Drama",2077,1975-01-27,"Chadi Abdel Salam",,
2,tt0051390,2025-06-11,2025-06-11,,"Cairo Station","Bab el-Hadid",https://www.imdb.com/title/tt0051390/,Movie,7.5,77,1958,"Crime, Drama",5890,1958-01-20,"Youssef Chahine",,
3,tt0072782,2025-06-11,2025-06-11,,"Chronicle of the Years of Fire","Ahdat Sanawovach El-Djamr",https://www.imdb.com/title/tt0072782/,Movie,7.3,177,1975,"Drama, History",768,1975-11-26,"Mohammed Lakhdar-Hamina",,
4,tt0064038,2025-06-11,2025-06-11,,"The Land","Al-ard",https://www.imdb.com/title/tt0064038/,Movie,8.0,130,1970,"Drama",2737,1970-01-26,"Youssef Chahine",,
5,tt0111055,2025-06-11,2025-06-11,,"The Silences of the Palace","Samt el qusur",https://www.imdb.com/title/tt0111055/,Movie,7.3,116,1994,"Drama",1197,1994-09-07,"Moufida Tlatli",,
6,tt0134279,2025-06-11,2025-06-11,,"Ahlam el-madina","Ahlam el-madina",https://www.imdb.com/title/tt0134279/,Movie,6.8,120,1984,"Biography, Drama",146,1988-09,"Mohamed Malas",,
7,tt0274428,2025-06-11,2025-06-11,,"Divine Intervention","Yadon ilaheyya",https://www.imdb.com/title/tt0274428/,Movie,6.6,92,2002,"Drama, Romance, War, Comedy",4165,2002-10-02,"Elia Suleiman",,
8,tt0102223,2025-06-11,2025-06-11,,"Kit Kat","El-Kit Kat",https://www.imdb.com/title/tt0102223/,Movie,8.3,129,1991,"Comedy, Drama, Romance",3009,1991-09-09,"Daoud Abdel Sayed",,
9,tt0157183,2025-06-11,2025-06-11,,"West Beirut","West Beyrouth (À l'abri les enfants)",https://www.imdb.com/title/tt0157183/,Movie,7.6,105,1998,"Comedy, Drama, Romance, War",5089,1998-10-30,"Ziad Doueiri",,
10,tt0068899,2025-06-11,2025-06-11,,"The Dupes","Al-makhdu'un",https://www.imdb.com/title/tt0068899/,Movie,7.6,107,1972,"Drama",466,1972-01-10,"Tewfik Saleh",,
11,tt0445620,2025-06-11,2025-06-11,,"Paradise Now","Paradise Now",https://www.imdb.com/title/tt0445620/,Movie,7.4,91,2005,"Crime, Drama, Thriller, War",24670,2005-11-18,"Hany Abu-Assad",8,2025-05-12
12,tt0090665,2025-06-11,2025-06-11,,"Halfaouine: Boy of the Terraces","Asfour Stah",https://www.imdb.com/title/tt0090665/,Movie,6.7,98,1990,"Drama, Comedy",2275,1990,"Férid Boughedir",,
13,tt0091470,2025-06-11,2025-06-11,,"Man of Ashes","Rih essed",https://www.imdb.com/title/tt0091470/,Movie,6.1,109,1986,"Drama",261,1990-05-11,"Nouri Bouzid",,
14,tt0260688,2025-06-11,2025-06-11,,"Ali Zaoua: Prince of the Streets","Ali Zaoua, prince de la rue",https://www.imdb.com/title/tt0260688/,Movie,7.3,90,2000,"Drama, Crime",3063,2000-11-25,"Nabil Ayouch",,
15,tt0077751,2025-06-11,2025-06-11,,"Alexandria... Why?","Iskanderija... lih?",https://www.imdb.com/title/tt0077751/,Movie,7.3,133,1979,"Drama",2211,2021-06-18,"Youssef Chahine",,
16,tt0075143,2025-06-11,2025-06-11,,"The Message","Al-risâlah",https://www.imdb.com/title/tt0075143/,Movie,8.9,207,1976,"Biography, Drama, History, War",11615,1976,"Moustapha Akkad",,
17,tt0094229,2025-06-11,2025-06-11,,"Wedding in Galilee","Urs al-jalil",https://www.imdb.com/title/tt0094229/,Movie,6.7,113,1987,"Drama",559,1988-06,"Michel Khleifi",,
18,tt0166486,2025-06-11,2025-06-11,,"Date Wine","Arak el-balah",https://www.imdb.com/title/tt0166486/,Movie,8.2,110,1998,"Drama, Romance",688,1999-09-01,"Radwan El-Kashef",,
19,tt0121994,2025-06-11,2025-06-11,,"Cruel Sea","Bas ya Bahar",https://www.imdb.com/title/tt0121994/,Movie,7.4,106,1971,"Drama",358,1971-03-27,"Khalid Al Siddiq",,
20,tt0231477,2025-06-11,2025-06-11,,"The Nightingale's Prayer","Doa al karawan",https://www.imdb.com/title/tt0231477/,Movie,8.1,109,1959,"Drama, Romance",2117,1959-10-08,"Henry Barakat",,
21,tt1037163,2025-06-11,2025-06-11,,"The Time That Remains","The Time That Remains",https://www.imdb.com/title/tt1037163/,Movie,7.1,109,2009,"Drama, History",3070,2009-08-12,"Elia Suleiman",,
22,tt1808093,2025-06-11,2025-06-11,,"El-toq wa el-iswerah","El-toq wa el-iswerah",https://www.imdb.com/title/tt1808093/,Movie,7.3,115,1986,"Crime, Drama, Music, Thriller",231,1986-06-07,"Khairy Beshara",,
23,tt0053652,2025-06-11,2025-06-11,,"The Beginning and the End","Bidaya wa nihaya",https://www.imdb.com/title/tt0053652/,Movie,8.0,130,1960,"Drama",762,1960-10-31,"Salah Abouseif",,
24,tt0081059,2025-06-11,2025-06-11,,"Lion of the Desert","Lion of the Desert",https://www.imdb.com/title/tt0081059/,Movie,8.2,173,1980,"Biography, Drama, History, War",18569,1981-05-16,"Moustapha Akkad",,
25,tt0096167,2025-06-11,2025-06-11,,"Stars in Broad Daylight","Nujum al-Nahar",https://www.imdb.com/title/tt0096167/,Movie,6.8,105,1988,"Drama",121,1988,"Ossama Mohammed",,
26,tt0104672,2025-06-11,2025-06-11,,"Al-lail","Al-lail",https://www.imdb.com/title/tt0104672/,Movie,7.6,116,1992,"Drama, History, War",202,1993-10-04,"Mohamed Malas",,
27,tt0171922,2025-06-11,2025-06-11,,"The Wife of an Important Man","Zawgat Ragul Muhimm",https://www.imdb.com/title/tt0171922/,Movie,7.9,115,1987,"Drama",2060,1988-01-11,"Mohamed Khan",,
